sku,name,category,metal_type,metal_purity,metal_weight,primary_stone,stone_weight,stock_level,retail_price,cost_price,location,supplier,tags
RING-001,"Diamond Solitaire Ring",Rings,18K White Gold,750,5.2,Diamond,1.5,1,2500,1200,Main Store,Diamond Supplier,"engagement;luxury"
NECK-002,"Pearl Necklace",Necklaces,Sterling Silver,925,15.8,Pearl,0,2,450,200,Display Case,Pearl Supplier,"classic;elegant"
EAR-003,"Gold Hoop Earrings",Earrings,14K Yellow Gold,585,3.4,,0,3,185,90,Jewelry Safe,Gold Supplier,"casual;everyday"
BRAC-004,"Tennis Bracelet",Bracelets,18K White Gold,750,12.1,Diamond,2.8,1,1850,950,VIP Vault,Premium Supplier,"tennis;diamonds;luxury"
RING-005,"Ruby Cocktail Ring",Rings,14K Rose Gold,585,8.3,Ruby,3.2,2,975,485,Main Store,Gemstone Supplier,"cocktail;ruby;vintage"
PEND-006,"Sapphire Pendant",Pendants,Platinum,950,6.7,Sapphire,1.8,1,1275,625,Display Case,Sapphire Supplier,"sapphire;pendant;luxury"
EAR-007,"Diamond Stud Earrings",Earrings,18K White Gold,750,2.1,Diamond,1.0,4,875,425,Jewelry Safe,Diamond Supplier,"studs;diamonds;classic"
BRAC-008,"Charm Bracelet",Bracelets,Sterling Silver,925,18.5,,0,3,325,150,Main Store,Silver Supplier,"charm;silver;casual"
RING-009,"Emerald Cut Engagement Ring",Rings,Platinum,950,7.8,Diamond,2.5,1,3250,1625,VIP Vault,Bridal Supplier,"engagement;emerald-cut;bridal"
NECK-010,"Gold Chain Necklace",Necklaces,14K Yellow Gold,585,25.2,,0,5,685,325,Jewelry Safe,Gold Supplier,"chain;gold;versatile"
